Script,FindingID,Name,Status,Severity,Detail,Remediation,Timestamp
L26_sast_sca_scanner,L26-C1,Dependency Vulnerability Scan,FAIL,High,5 potentially vulnerable dependency(ies): Node:/home/jomar/bzp/package-lock.json(1-deprecated-pkgs); Node:/home/jomar/Invoice-HUB/shared/package-lock.json(2-deprecated-pkgs); Node:/home/jomar/Invoice-HUB/backend/package-lock.json(5-deprecated-pkgs); Node:/home/jomar/Invoice-HUB/frontend-user/package-lock.json(2-deprecated-pkgs); Node:/home/jomar/bzp.worktrees/worktree-2026-01-08T23-41-57/package-lock.json(1-deprecated-pkgs);,"Update vulnerable dependencies. Use 'pip install --upgrade <pkg>', 'npm audit fix'. Integrate dependency scanning into CI/CD pipeline.",2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C2,Hardcoded Secrets in Source Code,FAIL,Critical,5 file(s) with potential hardcoded secrets: /home/jomar/.vscode-server-insiders/extensions/teamsdevapp.vscode-ai-foundry-0.16.1/dist/extension.js; /home/jomar/.vscode-server-insiders/extensions/ms-windows-ai-studio.windows-ai-studio-0.30.1-linux-x64/dist/extension.js; /home/jomar/.vscode-server-insiders/extensions/ms-azuretools.vscode-azureresourcegroups-0.12.3/dist/extension.bundle.js; /home/jomar/.vscode-server-insiders/extensions/google.geminicodeassist-2.75.0/dist/extension.js; /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/cli.js;,"Replace hardcoded secrets with environment variables or a secrets manager (HashiCorp Vault, AWS Secrets Manager). Run git-secrets or truffleHog on git history.",2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C3,Python Security Anti-Patterns,FAIL,High,1 Python file(s) with security issues: /home/jomar/.vscode-server-insiders/extensions/ms-python.python-2026.4.0-linux-x64/python_files/get_output_via_markers.py(eval/exec-with-variable;);,"Replace eval/exec with safer alternatives. Use subprocess with shell=False. Use yaml.safe_load. Use pickle alternatives (JSON, MessagePack) for untrusted data.",2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C4,JavaScript/Node.js Security Anti-Patterns,FAIL,High,59 JS/TS file(s) with security issues: /home/jomar/.vscode-remote-containers/dist/vscode-remote-containers-server-0.449.0.js(child_process.exec-with-variable;); /home/jomar/.vscode-remote-containers/dist/vscode-remote-containers-server-0.438.0.js(child_process.exec-with-variable;); /home/jomar/.vscode-remote-containers/dist/vscode-remote-containers-server-0.435.0.js(child_process.exec-with-variable;); /home/jomar/.vscode-remote-containers/dist/vscode-remote-containers-server-0.439.0.js(child_process.exec-with-variable;); /home/jomar/bzp/Indexer-python/static/analytics.js(innerHTML-assignment;); /home/jomar/bzp/Indexer-python/static/admin.js(innerHTML-assignment;); /home/jomar/bzp/dist/assets/react-DFQVtqJ0.js(innerHTML-assignment;); /home/jomar/bzp/dist/assets/appRuntime-C1GTjr9m.js(innerHTML-assignment;); /home/jomar/bzp/src/utils/noticeUtils.ts(innerHTML-assignment;); /home/jomar/.vscode-server-insiders/bin/3d2f6d94495933ec2e7b6a2bed05b6cb6a0e487b/out/server-main.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/bin/3d2f6d94495933ec2e7b6a2bed05b6cb6a0e487b/out/server-cli.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/fabiospampinato.vscode-diff-2.1.2/dist/index.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-python.debugpy-2025.18.0-linux-x64/dist/extension.js(child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-vscode.cpp-devtools-0.4.5/dist/main.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/teamsdevapp.vscode-ai-foundry-0.16.1/dist/extension.js(eval();child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/teamsdevapp.vscode-ai-foundry-0.16.1/dist/440.extension.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-windows-ai-studio.windows-ai-studio-0.30.1-linux-x64/dist/422.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-windows-ai-studio.windows-ai-studio-0.30.1-linux-x64/dist/694.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-windows-ai-studio.windows-ai-studio-0.30.1-linux-x64/dist/extension.js(eval();innerHTML-assignment;child_process.exec-with-variable;possible-prototype-pollution;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/qwtel.sqlite-viewer-26.2.5-linux-x64/out/worker.js(child_process.exec-with-variable;sql-string-concat;); /home/jomar/.vscode-server-insiders/extensions/qwtel.sqlite-viewer-26.2.5-linux-x64/out/worker-browser.js(child_process.exec-with-variable;sql-string-concat;); /home/jomar/.vscode-server-insiders/extensions/qwtel.sqlite-viewer-26.2.5-linux-x64/out/extension-browser.js(child_process.exec-with-variable;sql-string-concat;); /home/jomar/.vscode-server-insiders/extensions/qwtel.sqlite-viewer-26.2.5-linux-x64/out/extension.js(child_process.exec-with-variable;sql-string-concat;); /home/jomar/.vscode-server-insiders/extensions/ms-azuretools.vscode-azureresourcegroups-0.12.3/dist/extension.bundle.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-azuretools.vscode-azureresourcegroups-0.12.3/dist/extension-telemetry.bundle.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-python-envs-1.22.0-linux-x64/dist/extension.js(eval();child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/vitest.explorer-1.48.1/dist/workerLegacy.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/vitest.explorer-1.48.1/dist/workerNew.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/vitest.explorer-1.48.1/dist/extension.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-vscode.makefile-tools-0.13.23/dist/main.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/openai.chatgpt-26.5311.21342-linux-x64/out/extension.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-vscode.cmake-tools-1.23.28/dist/main.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/google.geminicodeassist-2.75.0/dist/extension.js(eval();child_process.exec-with-variable;possible-prototype-pollution;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/google.geminicodeassist-2.75.0/agent/a2a-server.mjs(eval();child_process.exec-with-variable;sql-string-concat;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/google.geminicodeassist-2.75.0/webview/app_bundle.js(innerHTML-assignment;child_process.exec-with-variable;sql-string-concat;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/browser.async.bundle.js(eval();jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/vendor.bundle.js(eval();innerHTML-assignment;child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/extension.bundle.js(jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/copilot-vendor.bundle.js(innerHTML-assignment;child_process.exec-with-variable;possible-prototype-pollution;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/pyright.bundle.js(child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/browser.extension.bundle.js(jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/copilot-pyright.bundle.js(child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/server.bundle.js(jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/copilot-background.bundle.js(jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/copilot-server.bundle.js(jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-python.python-2026.4.0-linux-x64/dist/extension.browser.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-azuretools.vscode-containers-2.4.1/dist/extension.bundle.js(child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/ms-azuretools.vscode-containers-2.4.1/dist/extension-telemetry.bundle.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/suggestionsPanelWebview.js(innerHTML-assignment;); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/tfidfWorker.js(innerHTML-assignment;child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/extension.js(eval();innerHTML-assignment;child_process.exec-with-variable;sql-string-concat;possible-prototype-pollution;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/worker2.js(eval();); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/cli.js(eval();innerHTML-assignment;child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/tikTokenizerWorker.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/wolfieshorizon.python-auto-venv-1.3.2/dist/extension.js(child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-playwright.playwright-1.1.17/out/extension.js(eval();child_process.exec-with-variable;); /home/jomar/.vscode-server-insiders/extensions/ms-playwright.playwright-1.1.17/out/babelBundle.js(child_process.exec-with-variable;jwt-none-algorithm;); /home/jomar/bzp.worktrees/worktree-2026-01-08T23-41-57/coverage/prettify.js(innerHTML-assignment;); /home/jomar/bzp.worktrees/worktree-2026-01-08T23-41-57/.tmp_appRuntime.mjs(innerHTML-assignment;);,Avoid eval(). Use textContent instead of innerHTML. Use child_process.execFile (no shell). Use parameterised queries. Use DOMPurify for HTML sanitisation.,2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C5,Insecure Shell Command Execution,FAIL,Critical,1 file(s) with shell injection risk: /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/extension.js;,"Never pass user input to shell commands. Use parameterised APIs (subprocess with list args, no shell=True). Validate and whitelist all command arguments.",2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C6,SQL Injection Patterns in Source Code,FAIL,Critical,3 file(s) with SQL string concatenation: /home/jomar/bzp/Indexer-python/db.py; /home/jomar/infrascan/CyberSWISS---Cybersecurity-Scaner-/common/gui.py; /home/jomar/infrascan/CyberSWISS---Cybersecurity-Scaner-/common/db.py;,"Use parameterised queries: cursor.execute('SELECT ? FROM t WHERE id=?', (val,)) in Python, PreparedStatement in Java. Use an ORM.",2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C7,Path Traversal Vulnerability Patterns,PASS,High,No path traversal patterns with user-controlled input detected,,2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C8,Weak Cryptographic Algorithm Usage,FAIL,High,"10 file(s) using weak crypto: /home/jomar/bzp/Indexer-python/crawler.py(hashlib.sha1(); /home/jomar/.vscode-server-insiders/extensions/teamsdevapp.vscode-ai-foundry-0.16.1/dist/extension.js(md5.,sha1.,md5.); /home/jomar/.vscode-server-insiders/extensions/ms-windows-ai-studio.windows-ai-studio-0.30.1-linux-x64/dist/extension.js(createHash(""md5"",createHash(""sha1"",createHash(""md5""); /home/jomar/.vscode-server-insiders/extensions/ms-vscode.makefile-tools-0.13.23/dist/main.js(md5.,sha1.); /home/jomar/.vscode-server-insiders/extensions/ms-vscode.cmake-tools-1.23.28/dist/main.js(md5.,sha1.); /home/jomar/.vscode-server-insiders/extensions/google.geminicodeassist-2.75.0/dist/extension.js(createHash(""sha1"",createHash(""md5"",createHash(""sha1""); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/vendor.bundle.js(createHash(""md5"",createHash(""sha1""); /home/jomar/.vscode-server-insiders/extensions/ms-python.vscode-pylance-2026.1.1/dist/copilot-vendor.bundle.js(createHash(""sha1"",createHash(""md5"",createHash(""sha1""); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/extension.js(createHash(""md5"",createHash(""sha1"",createHash(""sha1""); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/cli.js(createHash(""sha1"",md5.,createHash(""md5"");",Replace MD5/SHA1 with SHA-256/SHA-3. Replace DES/RC4 with AES-256-GCM. Use bcrypt/scrypt/argon2 for password hashing. Never use MD5/SHA1 for security-sensitive purposes.,2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C9,Insecure Deserialization Patterns,FAIL,Critical,"4 file(s) with deserialization risk: /home/jomar/.vscode-server-insiders/extensions/teamsdevapp.vscode-ai-foundry-0.16.1/dist/extension.js(JSON.parse(request.); /home/jomar/.vscode-server-insiders/extensions/qwtel.sqlite-viewer-26.2.5-linux-x64/out/extension-browser.js(readObject(),readObject()); /home/jomar/.vscode-server-insiders/extensions/qwtel.sqlite-viewer-26.2.5-linux-x64/out/extension.js(readObject(),readObject()); /home/jomar/.vscode-server-insiders/extensions/github.copilot-chat-0.40.2026031401/dist/extension.js(pickle.load(,JSON.parse(t.properties[""request.);","Never deserialise untrusted data with pickle/yaml.load/unserialize. Use yaml.safe_load, JSON for data exchange. Sign and verify serialised data before deserialisation.",2026-03-15T10:23:57Z
L26_sast_sca_scanner,L26-C10,Dependency Freshness and Version Pinning,WARN,Med,"Dependency management issues: Python:/home/jomar/.vscode-server-insiders/extensions/ms-python.python-2026.4.0-linux-x64/requirements.txt(63-unpinned,0-wildcard); Node:/home/jomar/bzp/package.json(55-wildcard-versions); Node:/home/jomar/Invoice-HUB/shared/package.json(8-wildcard-versions); Node:/home/jomar/Invoice-HUB/backend/package.json(63-wildcard-versions); Node:/home/jomar/Invoice-HUB/frontend-admin/package.json(17-wildcard-versions); Node:/home/jomar/Invoice-HUB/frontend-user/package.json(49-wildcard-versions); Node:/home/jomar/.nvm/package.json(7-wildcard-versions); Node:/home/jomar/bzp.worktrees/worktree-2026-01-08T23-41-57/package.json(18-wildcard-versions); /home/jomar/Invoice-HUB/shared/package-lock.json(115d-not-updated); /home/jomar/Invoice-HUB/backend/package-lock.json(115d-not-updated); /home/jomar/Invoice-HUB/frontend-admin/package-lock.json(115d-not-updated); /home/jomar/Invoice-HUB/frontend-user/package-lock.json(115d-not-updated);","Pin all dependencies to exact versions in requirements.txt (==). Commit and regularly update lock files. Run 'pip-compile', 'npm ci' in CI. Use Dependabot or Renovate for automated updates.",2026-03-15T10:23:57Z
